4,"Level 3 Communications, Inc."
8,"Level 3 Communications, Inc."
12,AT&T Services
16,Hewlett-Packard Company
17,Apple Inc.
19,Ford Motor Company
38,"PSINet, Inc."
44,Amateur Radio Digital Communications
48,Prudential Securities Inc.
56,US Postal Service
73,Comcast
6,Army Information Systems Center
7,DoD Network Information Center
11,DoDÊIntel Information Systems
21,DDN-RVN
22,Defense Information Systems Agency
26,Defense Information Systems Agency
28,DSI-North
29,Defense Information Systems Agency
30,Defense Information Systems Agency
33,DLA Systems Automation Center
55,DoD Network Information Center
214,US-DOD
215,US-DOD
1,APNIC
2,RIPE NCC
3,ARIN
5,RIPE NCC
9,ARIN
13,ARIN
14,APNIC
15,ARIN
18,ARIN
20,ARIN
23,ARIN
24,ARIN
25,RIPE NCC
27,APNIC
31,RIPE NCC
32,ARIN
34,ARIN
35,ARIN
36,APNIC
37,RIPE NCC
39,APNIC
40,ARIN
41,AFRINIC
42,APNIC
43,APNIC
45,ARIN
46,RIPE NCC
47,ARIN
49,APNIC
50,ARIN
51,RIPE NCC
52,ARIN
53,RIPE NCC
54,ARIN
57,RIPE NCC
58,APNIC
59,APNIC
60,APNIC
61,APNIC
62,RIPE NCC
63,ARIN
64,ARIN
65,ARIN
66,ARIN
67,ARIN
68,ARIN
69,ARIN
70,ARIN
71,ARIN
72,ARIN
73,ARIN
74,ARIN
75,ARIN
76,ARIN
77,RIPE NCC
78,RIPE NCC
79,RIPE NCC
80,RIPE NCC
81,RIPE NCC
82,RIPE NCC
83,RIPE NCC
84,RIPE NCC
85,RIPE NCC
86,RIPE NCC
87,RIPE NCC
88,RIPE NCC
89,RIPE NCC
90,RIPE NCC
91,RIPE NCC
92,RIPE NCC
93,RIPE NCC
94,RIPE NCC
95,RIPE NCC
96,ARIN
97,ARIN
98,ARIN
99,ARIN
100,ARIN
101,APNIC
102,AFRINIC
103,APNIC
104,ARIN
105,AFRINIC
106,APNIC
107,ARIN
108,ARIN
109,RIPE NCC
110,APNIC
111,APNIC
112,APNIC
113,APNIC
114,APNIC
115,APNIC
116,APNIC
117,APNIC
118,APNIC
119,APNIC
120,APNIC
121,APNIC
122,APNIC
123,APNIC
124,APNIC
125,APNIC
126,APNIC
128,ARIN
129,ARIN
130,ARIN
131,ARIN
132,ARIN
133,APNIC
134,ARIN
135,ARIN
136,ARIN
137,ARIN
138,ARIN
139,ARIN
140,ARIN
141,RIPE NCC
142,ARIN
143,ARIN
144,ARIN
145,RIPE NCC
146,ARIN
147,ARIN
148,ARIN
149,ARIN
150,APNIC
151,RIPE NCC
152,ARIN
153,APNIC
154,AFRINIC
155,ARIN
156,ARIN
157,ARIN
158,ARIN
159,ARIN
160,ARIN
161,ARIN
162,ARIN
163,APNIC
164,ARIN
165,ARIN
166,ARIN
167,ARIN
168,ARIN
169,ARIN
170,ARIN
171,APNIC
172,ARIN
173,ARIN
174,ARIN
175,APNIC
176,RIPE NCC
177,LACNIC
178,RIPE NCC
179,LACNIC
180,APNIC
181,LACNIC
182,APNIC
183,APNIC
184,ARIN
185,RIPE NCC
186,LACNIC
187,LACNIC
188,RIPE NCC
189,LACNIC
190,LACNIC
191,LACNIC
192,ARIN
193,RIPE NCC
194,RIPE NCC
195,RIPE NCC
196,AFRINIC
197,AFRINIC
198,ARIN
199,ARIN
200,LACNIC
201,LACNIC
202,APNIC
203,APNIC
204,ARIN
205,ARIN
206,ARIN
207,ARIN
208,ARIN
209,ARIN
210,APNIC
211,APNIC
212,RIPE NCC
213,RIPE NCC
216,ARIN
217,RIPE NCC
218,APNIC
219,APNIC
220,APNIC
221,APNIC
222,APNIC
223,APNIC
